DATE,UBIT,Duration,Activity and Tool Description
2/12/2025,winsonzh,10 minutes,"Set up the basic files with git and the command line"
2/13/2025,winsonzh,30 minutes,"Set up the basics of the PRE like csv.c, activity.csv, and importing the sample csv using emacs and git"
2/20/2025,winsonzh,1 hour, "Started on -min and then set up code to get information to complete the flag such as finding out # of rows and columns in csv. Also starting to copy content from csv into 2D array with emacs. Tested with gdb"
2/20/2025,winsonzh,2 hours, "Copied csv contents into a 2D array to use for flags such as -min and -max and wrote the basics for both with emacs. Tested with gdb"
2/24/2025,winsonzh,1 hour, "Fixed copying code and finished -min and -max without headers using emacs and gdb"
2/24/2025,winsonzh,1 hour 30 minutes, "Added in dealing with commas in fields and started on -mean flag (no header) with emacs and gdb"
2/26/2025,winsonzh,1 hour,"Fixed seg fault and fixed -mean flag (no headers) using emacs and gdb"
